"","indicator"
"1","GEOID"
"2","FIPS"
"3","STATEFP"
"4","COUNTYFP"
"5","TRACTCE"
"6","NAME.x"
"7","NAMELSAD"
"8","MTFCC"
"9","FUNCSTAT"
"10","ALAND"
"11","AWATER"
"12","INTPTLAT"
"13","INTPTLON"
"14","County"
"15","Region"
"16","Annual_Mean_Ambient_Concentration_of_Fine_Particulate_Matter_(PM2.5)_AIAN_2012_2014"
"17","Annual_Mean_Ambient_Concentration_of_Fine_Particulate_Matter_(PM2.5)_Asian_2012_2014"
"18","Annual_Mean_Ambient_Concentration_of_Fine_Particulate_Matter_(PM2.5)_AfricanAm_2012_2014"
"19","Annual_Mean_Ambient_Concentration_of_Fine_Particulate_Matter_(PM2.5)_Latino_2012_2014"
"20","Annual_Mean_Ambient_Concentration_of_Fine_Particulate_Matter_(PM2.5)_NHOPI_2012_2014"
"21","Annual_Mean_Ambient_Concentration_of_Fine_Particulate_Matter_(PM2.5)_White_2012_2014"
"22","Annual_Mean_Ambient_Concentration_of_Fine_Particulate_Matter_(PM2.5)_Multiple_2012_2014"
"23","Annual_Mean_Ambient_Concentration_of_Fine_Particulate_Matter_(PM2.5)_Other_2012_2014"
"24","Annual_Mean_Ambient_Concentration_of_Fine_Particulate_Matter_(PM2.5)_Total_2012_2014"
"25","Annual_Mean_Ambient_Concentration_of_Fine_Particulate_Matter_(PM2.5)_AIAN_2009_2011"
"26","Annual_Mean_Ambient_Concentration_of_Fine_Particulate_Matter_(PM2.5)_Asian_2009_2011"
"27","Annual_Mean_Ambient_Concentration_of_Fine_Particulate_Matter_(PM2.5)_AfricanAm_2009_2011"
"28","Annual_Mean_Ambient_Concentration_of_Fine_Particulate_Matter_(PM2.5)_Latino_2009_2011"
"29","Annual_Mean_Ambient_Concentration_of_Fine_Particulate_Matter_(PM2.5)_NHOPI_2009_2011"
"30","Annual_Mean_Ambient_Concentration_of_Fine_Particulate_Matter_(PM2.5)_White_2009_2011"
"31","Annual_Mean_Ambient_Concentration_of_Fine_Particulate_Matter_(PM2.5)_Multiple_2009_2011"
"32","Annual_Mean_Ambient_Concentration_of_Fine_Particulate_Matter_(PM2.5)_Other_2009_2011"
"33","Annual_Mean_Ambient_Concentration_of_Fine_Particulate_Matter_(PM2.5)_Total_2009_2011"
"34","Avg_Daily_Max_Ozone_Conc_AIAN_2012_2014"
"35","Avg_Daily_Max_Ozone_Conc_Asian_2012_2014"
"36","Avg_Daily_Max_Ozone_Conc_AfricanAm_2012_2014"
"37","Avg_Daily_Max_Ozone_Conc_Latino_2012_2014"
"38","Avg_Daily_Max_Ozone_Conc_NHOPI_2012_2014"
"39","Avg_Daily_Max_Ozone_Conc_White_2012_2014"
"40","Avg_Daily_Max_Ozone_Conc_Multiple_2012_2014"
"41","Avg_Daily_Max_Ozone_Conc_Other_2012_2014"
"42","Avg_Daily_Max_Ozone_Conc_Total_2012_2014"
"43","Number_of_Violent_Crimes_per_1,000_Population_Total_2000"
"44","Number_of_Violent_Crimes_per_1,000_Population_Total_2001"
"45","Number_of_Violent_Crimes_per_1,000_Population_Total_2002"
"46","Number_of_Violent_Crimes_per_1,000_Population_Total_2003"
"47","Number_of_Violent_Crimes_per_1,000_Population_Total_2004"
"48","Number_of_Violent_Crimes_per_1,000_Population_Total_2005"
"49","Number_of_Violent_Crimes_per_1,000_Population_Total_2006"
"50","Number_of_Violent_Crimes_per_1,000_Population_Total_2007"
"51","Number_of_Violent_Crimes_per_1,000_Population_Total_2008"
"52","Number_of_Violent_Crimes_per_1,000_Population_Total_2009"
"53","Number_of_Violent_Crimes_per_1,000_Population_Total_2010"
"54","Number_of_Violent_Crimes_per_1,000_Population_Total_2011"
"55","Number_of_Violent_Crimes_per_1,000_Population_Total_2012"
"56","Number_of_Violent_Crimes_per_1,000_Population_Total_2013"
"57","Percent_impervious_surface_cover_Total_2016"
"58","Percent_impervious_surface_cover_Total_2011"
"59","Percent_impervious_surface_cover_AIAN_2016"
"60","Percent_impervious_surface_cover_Asian_2016"
"61","Percent_impervious_surface_cover_AfricanAm_2016"
"62","Percent_impervious_surface_cover_Latino_2016"
"63","Percent_impervious_surface_cover_NHOPI_2016"
"64","Percent_impervious_surface_cover_White_2016"
"65","Percent_impervious_surface_cover_Multiple_2016"
"66","Percent_impervious_surface_cover_Other_2016"
"67","Percent_impervious_surface_cover_Other_2011"
"68","Percent_impervious_surface_cover_Multiple_2011"
"69","Percent_impervious_surface_cover_White_2011"
"70","Percent_impervious_surface_cover_NHOPI_2011"
"71","Percent_impervious_surface_cover_Latino_2011"
"72","Percent_impervious_surface_cover_AfricanAm_2011"
"73","Percent_impervious_surface_cover_Asian_2011"
"74","Percent_impervious_surface_cover_AIAN_2011"
"75","Percent_of_adults_with_less_than_college_education_AfricanAm_2000"
"76","Percent_of_adults_with_less_than_college_education_AIAN_2000"
"77","Percent_of_adults_with_less_than_college_education_Asian_2000"
"78","Percent_of_adults_with_less_than_college_education_Latino_2000"
"79","Percent_of_adults_with_less_than_college_education_Multiple_2000"
"80","Percent_of_adults_with_less_than_college_education_NHOPI_2000"
"81","Percent_of_adults_with_less_than_college_education_Other_2000"
"82","Percent_of_adults_with_less_than_college_education_Total_2000"
"83","Percent_of_adults_with_less_than_college_education_White_2000"
"84","Percent_of_adults_with_less_than_college_education_AfricanAm_2006_2010"
"85","Percent_of_adults_with_less_than_college_education_AIAN_2006_2010"
"86","Percent_of_adults_with_less_than_college_education_Asian_2006_2010"
"87","Percent_of_adults_with_less_than_college_education_Latino_2006_2010"
"88","Percent_of_adults_with_less_than_college_education_Multiple_2006_2010"
"89","Percent_of_adults_with_less_than_college_education_NHOPI_2006_2010"
"90","Percent_of_adults_with_less_than_college_education_Other_2006_2010"
"91","Percent_of_adults_with_less_than_college_education_Total_2006_2010"
"92","Percent_of_adults_with_less_than_college_education_White_2006_2010"
"93","Percent_of_adults_with_less_than_college_education_AfricanAm_2011_2015"
"94","Percent_of_adults_with_less_than_college_education_AIAN_2011_2015"
"95","Percent_of_adults_with_less_than_college_education_Asian_2011_2015"
"96","Percent_of_adults_with_less_than_college_education_Latino_2011_2015"
"97","Percent_of_adults_with_less_than_college_education_Multiple_2011_2015"
"98","Percent_of_adults_with_less_than_college_education_NHOPI_2011_2015"
"99","Percent_of_adults_with_less_than_college_education_Other_2011_2015"
"100","Percent_of_adults_with_less_than_college_education_Total_2011_2015"
"101","Percent_of_adults_with_less_than_college_education_White_2011_2015"
"102","Percent_of_households_with_no_one_aged_>_14_years_speaking_English_Total_2011_2015"
"103","Percent_of_households_with_no_one_aged_>_14_years_speaking_English_Total_2006_2010"
"104","Percent_of_households_with_no_vehicle_ownership_Other_2011_2015"
"105","Percent_of_households_with_no_vehicle_ownership_AfricanAm_2011_2015"
"106","Percent_of_households_with_no_vehicle_ownership_AIAN_2011_2015"
"107","Percent_of_households_with_no_vehicle_ownership_Multiple_2011_2015"
"108","Percent_of_households_with_no_vehicle_ownership_Total_2011_2015"
"109","Percent_of_households_with_no_vehicle_ownership_Asian_2011_2015"
"110","Percent_of_households_with_no_vehicle_ownership_Latino_2011_2015"
"111","Percent_of_households_with_no_vehicle_ownership_White_2011_2015"
"112","Percent_of_households_with_no_vehicle_ownership_NHOPI_2011_2015"
